Time,Value
,"0.55
"
,"0.51
"
,"0.04
"
,"0.20
"
,"0.03
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.06
"
,"0.14
"
13,"0.06
"
,"0.03
"
,"0.07
"
,"0.10
"
,"0.12
"
,"0.11
"
,"0.14
"
,"0.26
"
,"0.25
"
,"0.34
"
,"0.04
"
,"0.01
"
,"0.54
"
,"0.49
"
,"0.42
"
,"0.33
"
,"0.15
"
,"0.02
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.13
"
,"0.13
"
,"0.08
"
,"0.07
"
,"0.10
"
,"0.15
"
,"0.19
"
,"0.20
"
,"0.28
"
,"0.23
"
,"0.41
"
,"0.19
"
,"0.53
"
,"0.55
"
,"0.55
"
,"0.50
"
,"0.29
"
,"0.22
"
,"0.10
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.09
"
,"0.10
"
,"0.10
"
,"0.08
"
,"0.09
"
,"0.14
"
,"0.19
"
,"0.11
"
,"0.23
"
,"0.20
"
,"0.02
"
,"0.39
"
,"0.13
"
,"0.57
"
,"0.12
"
,"0.50
"
,"0.00
"
,"0.25
"
,"0.11
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.04
"
14,"0.09
"
,"0.14
"
,"0.19
"
,"0.29
"
,"0.07
"
,"0.07
"
,"0.18
"
,"0.52
"
,"0.06
"
